cdatetime;address;district;crimedescr;ucr_ncic_code;severity
01.01.2006 12:00;971 ACACIA AVE;2;LOST PROPERTY - I RPT;7000;2
01.01.2006 12:00;3146 0PALMER ST;2;530/5 PC USE PERSONAL ID INFO;2604;7
01.01.2006 12:00;8178 CENTER PKWY;5;653M(A) PC OBSCENE/THREAT CALL;5309;8
01.01.2006 12:30;1820 FRIENZA AVE;2;459 PC  BURGLARY BUSINESS;2203;9
01.01.2006 12:45;1689 ARDEN WAY;2;647(A) PC LEWD CONDUCT;7299;2
01.01.2006 12:45;1029 FRIENZA AVE;2;TOWED/STORED VEHICLE;7000;9
01.01.2006 13:00;5770 FREEPORT BLVD;4;GANG ACTIVITY - I RPT;7000;9
01.01.2006 13:10;1113 CONGRESS AVE;2;11364 HS POSS DRUG PARAPH;3599;8
01.01.2006 13:49;3421 AUBURN BLVD;2;459 PC  BURGLARY-UNSPECIFIED;2299;3
01.01.2006 14:00;560 SANDBURG DR;3;530/5 PC USE PERSONAL ID INFO;2604;8
01.01.2006 14:40;7608 AMHERST ST;5;HARASSMENT - I RPT;7000;6
01.01.2006 14:57;3801 DUCKHORN DR;1;422 PC THREAT/INTENT TO TERROR;1602;10
01.01.2006 14:59;5TH ST / P ST;3;CASUALTY REPORT;7000;6
01.01.2006 15:00;7301 MEADOWGATE DR;5;10851(A)VC TAKE VEH W/O OWNER;2404;1
01.01.2006 15:00;5518 SAGPOND WAY;1;484J PC PUBLISH CARD INFO;2605;4
01.01.2006 15:13;33RD ST / 11TH AVE;6;20001(A) VC HIT/RUN INJ/DEATH;5401;4
01.01.2006 15:30;35 QUAY CT;4;10851(A)VC TAKE VEH W/O OWNER;2404;2
01.01.2006 15:30;1814 19TH ST;3;484 PETTY THEFT-SHOPLIFT;2303;6
01.01.2006 15:30;2505 52ND AVE;4;LOST PROPERTY - I RPT;7000;9
01.01.2006 15:36;5770 FREEPORT BLVD;4;FOUND PROPERTY - I RPT;7000;2
